,Open,Close,High,Low
227,16504,16505,16505,16504
228,16505,16503,16505,16503
229,16503,16502,16503,16502
230,16502,16501,16502,16501
231,16501,16500,16501,16500
232,16500,16499,16500,16499
233,16499,16498,16499,16498
234,16498,16497,16498,16497
235,16497,16496,16497,16496
236,16496,16495,16496,16495
237,16495,16494,16495,16494
238,16494,16493,16494,16493
239,16493,16492,16493,16492
240,16492,16491,16492,16491
241,16491,16490,16491,16490
242,16490,16489,16490,16489
243,16489,16491,16491,16489
244,16491,16492,16492,16491
245,16492,16493,16493,16492
246,16493,16494,16494,16493
247,16494,16495,16495,16494
248,16495,16496,16496,16495
249,16496,16497,16497,16496
250,16497,16498,16498,16497
251,16498,16496,16498,16496
252,16496,16495,16496,16495
253,16495,16494,16495,16494
254,16494,16493,16494,16493
255,16493,16492,16493,16492
256,16492,16491,16492,16491
257,16491,16490,16491,16490
258,16490,16489,16490,16489
259,16489,16491,16491,16489
260,16491,16492,16492,16491
261,16492,16493,16493,16492
262,16493,16491,16493,16491
263,16491,16490,16491,16490
264,16490,16492,16492,16490
265,16492,16493,16493,16492
266,16493,16494,16494,16493
267,16494,16492,16494,16492
268,16492,16494,16494,16492
269,16494,16495,16495,16494
270,16495,16496,16496,16495
271,16496,16497,16497,16496
272,16497,16495,16497,16495
273,16495,16497,16497,16495
274,16497,16498,16498,16497
275,16498,16499,16499,16498
276,16499,16500,16500,16499
277,16500,16501,16501,16500
278,16501,16502,16502,16501
279,16502,16503,16503,16502
280,16503,16504,16504,16503
281,16504,16505,16505,16504
282,16505,16506,16506,16505
283,16506,16507,16507,16506
284,16507,16508,16508,16507
285,16508,16509,16509,16508
286,16509,16510,16510,16509
287,16510,16508,16510,16508
288,16508,16507,16508,16507
289,16507,16509,16509,16507
290,16509,16510,16510,16509
291,16510,16511,16511,16510
292,16511,16512,16512,16511
293,16512,16513,16513,16512
294,16513,16514,16514,16513
295,16514,16515,16515,16514
296,16515,16516,16516,16515
297,16516,16517,16517,16516
298,16517,16518,16518,16517
299,16518,16519,16519,16518
300,16519,16517,16519,16517
301,16517,16516,16517,16516
302,16516,16515,16516,16515
303,16515,16514,16515,16514
304,16514,16513,16514,16513
305,16513,16512,16513,16512
306,16512,16511,16512,16511
307,16511,16510,16511,16510
308,16510,16509,16510,16509
309,16509,16508,16509,16508
310,16508,16507,16508,16507
311,16507,16506,16507,16506
312,16506,16505,16506,16505
313,16505,16504,16505,16504
314,16504,16503,16504,16503
315,16503,16505,16505,16503
316,16505,16506,16506,16505
317,16506,16507,16507,16506
318,16507,16508,16508,16507
319,16508,16509,16509,16508
320,16509,16510,16510,16509
321,16510,16511,16511,16510
322,16511,16512,16512,16511
323,16512,16510,16512,16510
324,16510,16509,16510,16509
325,16509,16508,16509,16508
326,16508,16507,16508,16507
327,16507,16506,16507,16506
328,16506,16508,16508,16506
329,16508,16509,16509,16508
330,16509,16510,16510,16509
331,16510,16511,16511,16510
332,16511,16509,16511,16509
333,16509,16508,16509,16508
334,16508,16507,16508,16507
335,16507,16506,16507,16506
336,16506,16505,16506,16505
337,16505,16504,16505,16504
338,16504,16506,16506,16504
339,16506,16507,16507,16506
340,16507,16508,16508,16507
341,16508,16509,16509,16508
342,16509,16510,16510,16509
343,16510,16511,16511,16510
344,16511,16512,16512,16511
345,16512,16513,16513,16512
346,16513,16514,16514,16513
347,16514,16515,16515,16514
348,16515,16516,16516,16515
349,16516,16517,16517,16516
350,16517,16518,16518,16517
351,16518,16519,16519,16518
352,16519,16520,16520,16519
353,16520,16521,16521,16520
354,16521,16522,16522,16521
355,16522,16523,16523,16522
356,16523,16521,16523,16521
357,16521,16520,16521,16520
358,16520,16519,16520,16519
359,16519,16521,16521,16519
360,16521,16522,16522,16521
361,16522,16523,16523,16522
362,16523,16524,16524,16523
363,16524,16525,16525,16524
364,16525,16526,16526,16525
365,16526,16527,16527,16526
366,16527,16528,16528,16527
367,16528,16526,16528,16526
368,16526,16525,16526,16525
369,16525,16524,16525,16524
370,16524,16523,16524,16523
371,16523,16525,16525,16523
372,16525,16526,16526,16525
373,16526,16524,16526,16524
374,16524,16523,16524,16523
375,16523,16522,16523,16522
376,16522,16521,16522,16521
377,16521,16520,16521,16520
378,16520,16519,16520,16519
379,16519,16518,16519,16518
380,16518,16517,16518,16517
381,16517,16519,16519,16517
382,16519,16520,16520,16519
383,16520,16518,16520,16518
384,16518,16517,16518,16517
385,16517,16516,16517,16516
386,16516,16518,16518,16516
387,16518,16519,16519,16518
388,16519,16520,16520,16519
389,16520,16521,16521,16520
390,16521,16522,16522,16521
391,16522,16520,16522,16520
392,16520,16519,16520,16519
393,16519,16521,16521,16519
394,16521,16522,16522,16521
395,16522,16523,16523,16522
396,16523,16524,16524,16523
397,16524,16525,16525,16524
398,16525,16526,16526,16525
399,16526,16524,16526,16524
400,16524,16523,16524,16523
401,16523,16522,16523,16522
402,16522,16524,16524,16522
403,16524,16525,16525,16524
404,16525,16523,16525,16523
405,16523,16522,16523,16522
406,16522,16521,16522,16521
407,16521,16520,16521,16520
408,16520,16519,16520,16519
409,16519,16518,16519,16518
410,16518,16517,16518,16517
411,16517,16516,16517,16516
412,16516,16515,16516,16515
413,16515,16514,16515,16514
414,16514,16516,16516,16514
415,16516,16517,16517,16516
416,16517,16518,16518,16517
417,16518,16519,16519,16518
418,16519,16517,16519,16517
419,16517,16516,16517,16516
420,16516,16515,16516,16515
421,16515,16517,16517,16515
422,16517,16518,16518,16517
423,16518,16519,16519,16518
424,16519,16520,16520,16519
425,16520,16521,16521,16520
426,16521,16522,16522,16521
427,16522,16523,16523,16522
428,16523,16524,16524,16523
429,16524,16525,16525,16524
430,16525,16526,16526,16525
431,16526,16527,16527,16526
432,16527,16528,16528,16527
433,16528,16526,16528,16526
434,16526,16525,16526,16525
435,16525,16527,16527,16525
436,16527,16528,16528,16527
437,16528,16529,16529,16528
438,16529,16530,16530,16529
439,16530,16531,16531,16530
440,16531,16529,16531,16529
441,16529,16531,16531,16529
442,16531,16532,16532,16531
443,16532,16533,16533,16532
444,16533,16534,16534,16533
445,16534,16532,16534,16532
446,16532,16534,16534,16532
447,16534,16535,16535,16534
448,16535,16536,16536,16535
449,16536,16537,16537,16536
450,16537,16538,16538,16537
451,16538,16539,16539,16538
452,16539,16540,16540,16539
453,16540,16541,16541,16540
454,16541,16542,16542,16541
455,16542,16543,16543,16542
456,16543,16541,16543,16541
457,16541,16540,16541,16540
458,16540,16539,16540,16539
459,16539,16538,16539,16538
460,16538,16537,16538,16537
461,16537,16536,16537,16536
462,16536,16535,16536,16535
463,16535,16534,16535,16534
464,16534,16536,16536,16534
465,16536,16537,16537,16536
466,16537,16538,16538,16537
467,16538,16539,16539,16538
468,16539,16540,16540,16539
469,16540,16541,16541,16540
470,16541,16542,16542,16541
471,16542,16543,16543,16542
472,16543,16544,16544,16543
473,16544,16545,16545,16544
474,16545,16546,16546,16545
475,16546,16547,16547,16546
476,16547,16548,16548,16547
477,16548,16546,16548,16546
478,16546,16548,16548,16546
479,16548,16546,16548,16546
480,16546,16545,16546,16545
481,16545,16544,16545,16544
482,16544,16543,16544,16543
483,16543,16542,16543,16542
484,16542,16541,16542,16541
485,16541,16540,16541,16540
486,16540,16539,16540,16539
487,16539,16538,16539,16538
488,16538,16540,16540,16538
489,16540,16541,16541,16540
490,16541,16542,16542,16541
491,16542,16540,16542,16540
492,16540,16542,16542,16540
493,16542,16543,16543,16542
494,16543,16544,16544,16543
495,16544,16545,16545,16544
496,16545,16546,16546,16545
497,16546,16547,16547,16546
498,16547,16545,16547,16545
499,16545,16547,16547,16545
500,16547,16548,16548,16547
501,16548,16546,16548,16546
502,16546,16545,16546,16545
503,16545,16544,16545,16544
504,16544,16543,16544,16543
505,16543,16542,16543,16542
506,16542,16541,16542,16541
507,16541,16540,16541,16540
508,16540,16539,16540,16539
509,16539,16538,16539,16538
510,16538,16537,16538,16537
511,16537,16536,16537,16536
512,16536,16535,16536,16535
513,16535,16534,16535,16534
514,16534,16536,16536,16534
515,16536,16534,16536,16534
516,16534,16533,16534,16533
517,16533,16532,16533,16532
518,16532,16531,16532,16531
519,16531,16530,16531,16530
520,16530,16529,16530,16529
521,16529,16528,16529,16528
522,16528,16527,16528,16527
523,16527,16526,16527,16526
524,16526,16525,16526,16525
525,16525,16524,16525,16524
526,16524,16526,16526,16524
527,16526,16527,16527,16526
528,16527,16528,16528,16527
529,16528,16529,16529,16528
530,16529,16530,16530,16529
531,16530,16531,16531,16530
532,16531,16532,16532,16531
533,16532,16530,16532,16530
534,16530,16529,16530,16529
535,16529,16531,16531,16529
536,16531,16532,16532,16531
537,16532,16533,16533,16532
538,16533,16534,16534,16533
539,16534,16535,16535,16534
540,16535,16536,16536,16535
541,16536,16534,16536,16534
542,16534,16533,16534,16533
543,16533,16532,16533,16532
544,16532,16531,16532,16531
545,16531,16530,16531,16530
546,16530,16532,16532,16530
547,16532,16533,16533,16532
548,16533,16534,16534,16533
549,16534,16535,16535,16534
550,16535,16536,16536,16535
551,16536,16537,16537,16536
552,16537,16538,16538,16537
553,16538,16539,16539,16538
554,16539,16540,16540,16539
555,16540,16541,16541,16540
556,16541,16539,16541,16539
557,16539,16538,16539,16538
558,16538,16537,16538,16537
559,16537,16539,16539,16537
560,16539,16540,16540,16539
561,16540,16541,16541,16540
562,16541,16542,16542,16541
563,16542,16540,16542,16540
564,16540,16542,16542,16540
565,16542,16543,16543,16542
566,16543,16541,16543,16541
567,16541,16540,16541,16540
568,16540,16542,16542,16540
569,16542,16543,16543,16542
570,16543,16544,16544,16543
571,16544,16545,16545,16544
572,16545,16546,16546,16545
573,16546,16547,16547,16546
574,16547,16548,16548,16547
575,16548,16549,16549,16548
576,16549,16550,16550,16549
577,16550,16548,16550,16548
578,16548,16547,16548,16547
579,16547,16546,16547,16546
580,16546,16545,16546,16545
581,16545,16544,16545,16544
582,16544,16543,16544,16543
583,16543,16542,16543,16542
584,16542,16544,16544,16542
585,16544,16545,16545,16544
586,16545,16546,16546,16545
587,16546,16547,16547,16546
588,16547,16548,16548,16547
589,16548,16549,16549,16548
590,16549,16550,16550,16549
591,16550,16551,16551,16550
592,16551,16549,16551,16549
593,16549,16548,16549,16548
594,16548,16550,16550,16548
595,16550,16548,16550,16548
596,16548,16547,16548,16547
597,16547,16546,16547,16546
598,16546,16548,16548,16546
599,16548,16546,16548,16546
600,16546,16545,16546,16545
601,16545,16544,16545,16544
602,16544,16543,16544,16543
603,16543,16542,16543,16542
604,16542,16541,16542,16541
605,16541,16540,16541,16540
606,16540,16539,16540,16539
607,16539,16538,16539,16538
608,16538,16537,16538,16537
609,16537,16536,16537,16536
610,16536,16538,16538,16536
611,16538,16539,16539,16538
612,16539,16540,16540,16539
613,16540,16541,16541,16540
614,16541,16542,16542,16541
615,16542,16540,16542,16540
616,16540,16539,16540,16539
617,16539,16538,16539,16538
618,16538,16537,16538,16537
619,16537,16536,16537,16536
620,16536,16535,16536,16535
621,16535,16534,16535,16534
622,16534,16536,16536,16534
623,16536,16537,16537,16536
624,16537,16538,16538,16537
625,16538,16539,16539,16538
626,16539,16540,16540,16539
627,16540,16541,16541,16540
628,16541,16542,16542,16541
629,16542,16543,16543,16542
630,16543,16544,16544,16543
631,16544,16545,16545,16544
632,16545,16546,16546,16545
633,16546,16547,16547,16546
634,16547,16548,16548,16547
635,16548,16549,16549,16548
636,16549,16550,16550,16549
637,16550,16551,16551,16550
638,16551,16552,16552,16551
639,16552,16553,16553,16552
640,16553,16554,16554,16553
641,16554,16555,16555,16554
642,16555,16556,16556,16555
643,16556,16557,16557,16556
644,16557,16558,16558,16557
645,16558,16559,16559,16558
646,16559,16560,16560,16559
647,16560,16561,16561,16560
648,16561,16562,16562,16561
649,16562,16563,16563,16562
650,16563,16564,16564,16563
651,16564,16565,16565,16564
652,16565,16566,16566,16565
653,16566,16564,16566,16564
654,16564,16563,16564,16563
655,16563,16562,16563,16562
656,16562,16561,16562,16561
657,16561,16560,16561,16560
658,16560,16559,16560,16559
659,16559,16558,16559,16558
660,16558,16557,16558,16557
661,16557,16559,16559,16557
662,16559,16560,16560,16559
663,16560,16558,16560,16558
664,16558,16557,16558,16557
665,16557,16556,16557,16556
666,16556,16558,16558,16556
667,16558,16559,16559,16558
668,16559,16560,16560,16559
669,16560,16561,16561,16560
670,16561,16559,16561,16559
671,16559,16561,16561,16559
672,16561,16562,16562,16561
673,16562,16560,16562,16560
674,16560,16559,16560,16559
675,16559,16558,16559,16558
676,16558,16557,16558,16557
677,16557,16556,16557,16556
678,16556,16555,16556,16555
679,16555,16557,16557,16555
680,16557,16558,16558,16557
681,16558,16559,16559,16558
682,16559,16560,16560,16559
683,16560,16561,16561,16560
684,16561,16562,16562,16561
685,16562,16560,16562,16560
686,16560,16562,16562,16560
687,16562,16563,16563,16562
688,16563,16564,16564,16563
689,16564,16565,16565,16564
690,16565,16566,16566,16565
691,16566,16564,16566,16564
692,16564,16563,16564,16563
693,16563,16562,16563,16562
694,16562,16561,16562,16561
695,16561,16560,16561,16560
696,16560,16559,16560,16559
697,16559,16558,16559,16558
698,16558,16557,16558,16557
699,16557,16556,16557,16556
700,16556,16555,16556,16555
701,16555,16554,16555,16554
702,16554,16553,16554,16553
703,16553,16552,16553,16552
704,16552,16551,16552,16551
705,16551,16550,16551,16550
706,16550,16549,16550,16549
707,16549,16548,16549,16548
708,16548,16547,16548,16547
709,16547,16546,16547,16546
710,16546,16545,16546,16545
711,16545,16544,16545,16544
712,16544,16543,16544,16543
713,16543,16542,16543,16542
714,16542,16541,16542,16541
715,16541,16540,16541,16540
716,16540,16539,16540,16539
717,16539,16538,16539,16538
718,16538,16540,16540,16538
